image_name,Type_1,Type_2,Type_3
202.jpg,0.0425424,0.957458,1.11613e-41
146.jpg,7.8519e-16,1.0,3.47259e-20
501.jpg,0.000613065,0.999387,1.24856e-32
438.jpg,0.0,0.0,1.0
271.jpg,1.99999e-16,1.0,3.95558e-19
413.jpg,1.0,3.58052e-38,0.0
145.jpg,0.000234861,0.999765,1.9028e-32
193.jpg,1.0,0.0,0.0
76.jpg,1.0,4.6249e-08,0.0
3.jpg,0.000317153,0.999683,2.10768e-35
71.jpg,5.79935e-19,1.0,5.2164e-20
285.jpg,4.07841e-07,1.0,1.07783e-18
281.jpg,2.66813e-30,1.0,5.74608e-13
224.jpg,1.0,2.23537e-23,0.0
207.jpg,1.0,0.0,0.0
225.jpg,1.0,5.7861e-23,1.4013e-45
194.jpg,1.45678e-16,1.0,1.40218e-14
191.jpg,1.0,2.99927e-13,2.15197e-41
199.jpg,1.0,0.0,0.0
275.jpg,1.0,0.0,0.0
130.jpg,1.0,1.83994e-29,0.0
297.jpg,1.0,0.0,0.0
78.jpg,0.674674,0.325326,1.73176e-16
38.jpg,5.10438e-05,0.999949,2.04801e-24
106.jpg,5.24819e-09,1.0,9.21982e-38
248.jpg,1.0,0.0,0.0
108.jpg,1.0,2.413e-07,1.12633e-31
344.jpg,1.0,0.0,0.0
264.jpg,1.0,5.15657e-27,1.96578e-37
337.jpg,1.0,3.00369e-24,1.56679e-35
111.jpg,1.0,1.12215e-28,0.0
508.jpg,5.51153e-35,1.0,7.5256e-11
160.jpg,0.999993,6.58872e-06,2.20239e-37
343.jpg,1.0,1.65237e-30,0.0
341.jpg,4.55371e-08,0.0203868,0.979613
423.jpg,0.0,0.913369,0.0866309
82.jpg,3.49562e-15,1.0,6.27778e-24
178.jpg,6.08294e-25,1.0,5.51694e-13
390.jpg,4.51218e-43,3.62397e-09,1.0
243.jpg,0.999778,0.000222267,1.82947e-31
162.jpg,1.0,0.0,0.0
439.jpg,3.403e-06,0.999997,1.76808e-08
263.jpg,1.0,0.0,0.0
166.jpg,1.0,4.85595e-13,2.8026e-45
306.jpg,1.0,4.5845e-34,0.0
66.jpg,7.14726e-21,1.0,9.80876e-10
463.jpg,1.16148e-17,2.66281e-07,1.0
232.jpg,1.0,0.0,0.0
428.jpg,1.0,0.0,0.0
476.jpg,1.11632e-25,1.0,2.67381e-32
227.jpg,0.979881,0.0201186,6.44839e-16
462.jpg,1.0,0.0,0.0
486.jpg,0.0,0.242052,0.757948
358.jpg,0.931681,0.0683193,2.67041e-29
420.jpg,0.0,1.0,5.04517e-13
96.jpg,1.0,1.73035e-21,1.63761e-33
414.jpg,1.0,1.56518e-10,1.40623e-36
41.jpg,0.0,1.91222e-36,1.0
